collection,id,manuscript,groups,source_date,source_title,source_catalog_or_lot_number,sale_selling_agent,sale_seller_or_holder,sale_buyer,sale_sold,sale_price,titles,authors,dates,date_ranges,artists,scribes,languages,materials,places,uses,folios,num_columns,num_lines,height,width,alt_size,miniatures_fullpage,miniatures_large,miniatures_small,miniatures_unspec_size,initials_historiated,initials_decorated,manuscript_binding,manuscript_link,other_info,provenance,created_at,created_by,updated_at,updated_by,approved,deprecated,superceded_by_id,draft,extent,layout
3,,,,,,BV 60,,,,,,al-Qurʼān.;[al-Qurʼān].,,between 1700 and 1850?,,,,Arabic,paper,,,,,,,,,,,,,,,Textblock is detached from binding. Covers are dark brown leather over pasteboard (Type III) with faint blind stamping and frame; marbled endpapers; spine has been reinforced with black textile.,http://openn.library.upenn.edu/Data/0003/bv_060/data/bv_060_TEI.xml,,"Item is undated, but likely copied in the 18th or 19th century.;Gift of Felix Usis in 1983; forms part of the Usis Collection.",,,,,,,,,"i, 25, i leaves : 263 x 170 (165 x 100) mm bound to 175 x 127 mm",Written in 7 long lines; border-ruled.
3,,,,,,BV 62,,,,,,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār.;[Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār].,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",between 1750 and 1850?,,,"Barbarʹzādah, Muḥammad Amīn",Arabic;Persian,paper,,,,,,,,,,,,,,,Copy is mostly disbound; covers are quite damaged. Covers are brown leather over pasteboard (Type III) with gilt stamped central mandorla with two pendants on the vertical axis and cornerpieces. The stamped sections are coming loose and curling along the edges. Gold tooled frame. Green paper pastedowns.,http://openn.library.upenn.edu/Data/0003/bv_062/data/bv_062_TEI.xml,,"Copy completed by Muḥammad Amīn Barbarʹzādah (f. 95r); the item is undated, but likely copied in the mid-18th to mid-19th century.;Gift of Lucy Martin Donnelly, Bryn Mawr College, 1893.",,,,,,,,,"i, 2 unfoliated leaves, 99 foliated leaves, ii : 180 x 123 (116 x 70) mm bound to 180 x 123 mm",Written in 9 long lines; border-ruled.
3,,,,,,BV 67,,,,,,Syriac-English dictionary.;[Syriac-English dictionary].,,18--?,,,,Classical Syriac;English,paper,,,,,,,,,,,,,,,Bound in black leather over pasteboard (Type III) with blind tooled frame and central diamond shape.,http://openn.library.upenn.edu/Data/0003/bv_067/data/bv_067_TEI.xml,,The item is undated with no record of who compiled it; probably made in the 19th century.;Acquired with set of volumes from the Berkeley Divinity School.,,,,,,,,,"ii, 216, i leaves: 225 x 185 (215 x 165) mm bound to 235 x 200 mm",Written in 21 lines in two columns of pairs of words; frame ruled with a misṭarah.
3,,,,,,BV 68,,,,,,al-Ḥawḍ.;al-Naṣīḥah;Baḥr al-Dumūʿ;al-Ḥawḍ,"Hawzālī, Muḥammad ibn ʻAlī, -1748 or 1749",1794,,,,Berber languages,paper,Morocco,,,,,,,,,,,,,,Bound in reddish brown leather over pasteboard with flap (Type II). Embossed paper onlay central mandorla and blind tooled frame on both covers and flap.,http://openn.library.upenn.edu/Data/0003/bv_068/data/bv_068_TEI.xml,,Copy completed in the month of Shaʻbān in 1208 A.H. (1794 CE) by al-Ḥasan ibn al-Ḥusayn al-Hilālī (f. 5r).,,,,,,,,,98 leaves : 295 x 190 (245 x 180) mm bound to 295 x 205 mm,Written in 17 lines in two closely spaced columns.
3,,,,,,BV 69,,,,,,Muṣḥaf jalīl fīhi ....;Two unidentified leaves;Table of contents;Maymar qālahu Yuḥannā ibn Zabadī ʻalá niyāḥat MartMaryam al-Sayyidah;Shahādat Anbā Qūris wa-Yūḥannā;Qiṣṣat iẓhār ṣalīb rabbinā al-Masīḥ bi-Bayt al-Maqdis,,950?,,,"Thūmā, al-Rāhib, active 950",Arabic,parchment,"Sinai, Egypt",,,,,,,,,,,,,,Bound in brown leather over wood with nails.,http://openn.library.upenn.edu/Data/0003/bv_069/data/bv_069_TEI.xml,,"The date has been scrubbed, but probably mid-10th century. Copied by Thūmā, a monk of Saint Catherine's Monastary on Mount Sinai (f. 4r).;Gift of Howard Lehman Goodhart in 1949.;Sold by Ludwig Rosenthal in Munich in 1913.;Sold by K. Hiersemann in Leipzig in 1922, lot number 15, listed as Heiligenlegenden at 90,000 DM (label inside front cover).;Formerly owned by Anrold J. Mettler as part of the Arnold Mettler-Specker Collection (bookplate inside back cover) on loan to the Zurich Zentralbibliothek under the designation Or. 74.;Sold at the Parke-Bernet Galleries sale held on 29-30 November 1948, catalog entry number 302 (clipping pasted onto inside front cover with note in pencil inside back cover).;Purchased by Howard Lehman Goodhart (bookplate inside back cover) in 1948 and listed as MS 95 in his book of purchases.",,,,,,,,,52 leaves : 212 x 170 (170 x 120) mm bound to 215 x 175 mm,Written in 15-17 long lines.
3,,,,,,BV 70,,,,,,al-Qurʼān.;[al-Qurʼān].,,between 1775 and 1850?,,,,Arabic,paper,,,,,,,,,,,,,,,"Bound in dark red leather over pasteboard with flap that does not fit the textblock (Type II); fading gilt and red stamped paper onlays of central mandorla, two pendants on the vertical axis and cornerpieces.",http://openn.library.upenn.edu/Data/0003/bv_070/data/bv_070_TEI.xml,,"Item is undated, but likely copied in the late 18th or 19th century.;Gift of Katharine Strauss Mali, Bryn Mawr College 1923, on 15 March 1956.",,,,,,,,,"i, 303, i leaves : 175 x 120 (108 x 54) mm bound to 175 x 127 mm",Written in 15 long lines; border-ruled.
3,,,,,,BV 71,,,,,,Devotional book.;[Devotional book].,,between 1725 and 1825?,,,,Persian;Arabic,paper,,,,,,,,,,,,,,,"The text is disbound, the covers are thin reddish leather over pulpboard (Type III) with gilt stamped central mandorla and frame with floral fill between the central design and the frame and a different floral fill inside the frame itself. Inside covers are brown leather with gold tooled frame.",http://openn.library.upenn.edu/Data/0003/bv_071/data/bv_071_TEI.xml,,"Item is undated, perhaps written in the 18th or early 19th century.;Gift of Howard Lehman Goodhart.;Sold at Parke-Bernet Galleries in 1945.",,,,,,,,,"iii, 98, i leaves : 120 x 70 (97 x 50) mm bound to 120 x 70 mm",Written in 11 long lines; border-ruled in a pear-shape.
3,,,,,,BV 72,,,,,,Tables for the risings and settings of the moon and planets.;[Tables for the risings and settings of the moon and planets].,,1861,,,,Persian;Arabic,paper,,,,,,,,,,,,,,,Paper wrapper with green carpet page design now bound into quarter covers with marbled paper sides and pink textile spine; the corners of the sides have been cut away unevenly leaving the plain board exposed.,http://openn.library.upenn.edu/Data/0003/bv_072/data/bv_072_TEI.xml,,"Copy produced in 1277 A.H. (1861) (f. 6r);Gift of Dr. Gibson in March, 1982.",,,,,,,,,"ii, 16, ii leaves : 225 x 136 (205 x 100) mm bound to 233 x 140 mm","Chiefly grids that are structured as follows: right-hand page: 5 long lines over 16 columns divided into sets of 2, 1, 4, 9 columns with columns divided into rows of 1 header row and three sets of 5 rows; left-hand page: 5 long lines over 18 columns divided into sets of 4, 6, 5, 1, 2 columns with columns divided into rows of 1 header row, three sets of 5 rows. All grids border ruled with heavier rules dividing the sets of columns and rows."
3,,,,,,BV 201,,,,,,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār.;[Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār].,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",between 1700 and 1799?,,,,Arabic,paper,North Africa?,,,,,,,,,,,,,,"Brown leather over pasteboard with flap (Type II); blind stamped covers with lighter brown, stamped paper onlay on both covers and flap. Carrying case in brownish red leather with red embroidery and tassels.",http://openn.library.upenn.edu/Data/0003/bv_201/data/bv_201_TEI.xml,,Item is undated; perhaps copied in North Africa in the 18th century.,,,,,,,,,"76 foliated leaves, 3 unfoliated leaves : 80 x 80 (67 x 63) mm bound to 80 x 92 mm",Written in 10 long lines; border-ruled.
3,,,,,,BV 65,,,,,,Shāhnāmah.,Firdawsī,1849,,,,Persian,paper,India?,,,,,,,,,,,,,,"Bound in red leather over pasteboard (Type III) with blind stamped central mandorla, two pendants on the vertical axis, cornerpieces, and 6 cartouches around the edge forming a frame; red leather pastedown and red square-and-star pattern endpapers.",http://openn.library.upenn.edu/Data/0003/bv_065/data/bv_065_TEI.xml,,"Copy completed on 12 Dhū al-Ḥijjah 1265 A.H. (October 1849) (f. 688r).;Gift of Philip Neufeld, in memory of Margaret Neufeld.",,,,,,,,,"i, 690 foliated leaves : 375 x 210 (270 x 142) mm bound to 390 x 225 mm",Chiefly 25 lines in 4 columns; prose prefaces in 21 long lines; border-ruled.
